StateID,StateName,StatePop,SateArea,PopDensity,AvgIncome
41336,Johor,3348283,19210,174,5652
41325,Kedah,1890098,9500,199,3811
41367,Kelantan,1459994,15099,97,3079
41401,Kuala Lumpur,1627172,243,6891,9073
41415,Labuan,86908,91,950,5928
41324,Melaka,788706,1664,470,5588
41332,Negeri Sembilan,997071,6686,150,4579
41335,Pahang,1443365,36137,40,3979
41330,Perak,2258428,21035,110,4006
41380,Perlis,227025,821,280,4204
41327,Pulau Pinang,1520143,1048,1500,5409
41345,Sabah,3117405,73631,42,4110
41342,Sarawak,2420009,124450,19,4163
41326,Selangor,5411321,8104,670,7225
41361,Terengganu,1015776,13035,69,4694
